_id,workPid,dataPid
1914-FA,https://mskgent.be/collection/work/id/1914-FA,https://mskgent.be/collection/work/data/1914-FA
1885-E,https://mskgent.be/collection/work/id/1885-E,https://mskgent.be/collection/work/data/1885-E
2005-F,https://mskgent.be/collection/work/id/2005-F,https://mskgent.be/collection/work/data/2005-F
1914-GI-1-recto,https://mskgent.be/collection/work/id/1914-GI-1-recto,https://mskgent.be/collection/work/data/1914-GI-1-recto
1985-A-44,https://mskgent.be/collection/work/id/1985-A-44,https://mskgent.be/collection/work/data/1985-A-44
1952-H-6,https://mskgent.be/collection/work/id/1952-H-6,https://mskgent.be/collection/work/data/1952-H-6
1939-AI,https://mskgent.be/collection/work/id/1939-AI,https://mskgent.be/collection/work/data/1939-AI
1966-E-6,https://mskgent.be/collection/work/id/1966-E-6,https://mskgent.be/collection/work/data/1966-E-6
1911-GK,https://mskgent.be/collection/work/id/1911-GK,https://mskgent.be/collection/work/data/1911-GK
1943-AF-9,https://mskgent.be/collection/work/id/1943-AF-9,https://mskgent.be/collection/work/data/1943-AF-9
1945-C,https://mskgent.be/collection/work/id/1945-C,https://mskgent.be/collection/work/data/1945-C
1949-BJ,https://mskgent.be/collection/work/id/1949-BJ,https://mskgent.be/collection/work/data/1949-BJ
1949-AL-198-verso,https://mskgent.be/collection/work/id/1949-AL-198-verso,https://mskgent.be/collection/work/data/1949-AL-198-verso
1889-I,https://mskgent.be/collection/work/id/1889-I,https://mskgent.be/collection/work/data/1889-I
1949-AL-71,https://mskgent.be/collection/work/id/1949-AL-71,https://mskgent.be/collection/work/data/1949-AL-71
2003-BQ-f,https://mskgent.be/collection/work/id/2003-BQ-f,https://mskgent.be/collection/work/data/2003-BQ-f
1985-K-10,https://mskgent.be/collection/work/id/1985-K-10,https://mskgent.be/collection/work/data/1985-K-10
1974-E,https://mskgent.be/collection/work/id/1974-E,https://mskgent.be/collection/work/data/1974-E
1966-C-2,https://mskgent.be/collection/work/id/1966-C-2,https://mskgent.be/collection/work/data/1966-C-2
2003-BH-c,https://mskgent.be/collection/work/id/2003-BH-c,https://mskgent.be/collection/work/data/2003-BH-c
1950-Y,https://mskgent.be/collection/work/id/1950-Y,https://mskgent.be/collection/work/data/1950-Y
1925-Q,https://mskgent.be/collection/work/id/1925-Q,https://mskgent.be/collection/work/data/1925-Q
1937-AQ-9,https://mskgent.be/collection/work/id/1937-AQ-9,https://mskgent.be/collection/work/data/1937-AQ-9
1915-F,https://mskgent.be/collection/work/id/1915-F,https://mskgent.be/collection/work/data/1915-F
